Classifier,Accuracy,Sensitivity,Specificity,Precision,F1_Score,Training_Time
SVM,78.125,78.125,92.7083333333333,78.5707053548863,78.0395657327579,2.9935578
KNN,75.5416666666667,75.5416666666667,91.8472222222222,75.6045692322863,75.5705912607655,1.8698468
Random Forest,79.9166666666667,79.9166666666667,93.3055555555556,79.9231605250229,79.7925686849809,3.9717223
Naive Bayes,70.0416666666667,70.0416666666667,90.0138888888889,68.6500635682862,68.2119677602464,1.6804615
Neural Network,71.0833333333333,71.0833333333333,90.3611111111111,70.1592847332946,70.0769105047544,6.1868054
Decision Tree,70.125,70.125,90.0416666666667,72.4227554540492,70.4503747492338,0.162554
